Ward No.,Ward Name,Seat,Reservation,Elected Candidate Name,Party
26,,B,OBC (Women),Malvade Sneha Namdev,BJP
26,,C,General (Women),Aishwarya Samrat Thorat,BJP
26,,D,General,Ajay Pandurang Khedekar,BJP
27,Navi Peth-Parvati,A,SC,Mahesh Vilas Awale,BJP
27,,B,OBC (Women),Smita Padmakar Vaste,BJP
27,,C,General (Women),Gaud Lata Raghunath,BJP
27,,D,General,Dheeraj Ramchandra Ghate,BJP
28,Janta Vasahat-Hingne Khurd,A,SC (Women),Rithe Vrushali Anand,BJP
28,,B,OBC (Women),Gadade Priya Shivaji,NCP
28,,C,General,Suraj Nathuram Lokhande,NCP
28,,D,General,Adv. Prasann Ghanshyam Jagtap,BJP
29,Deccan Gymkhana-Happy Colony,A,OBC,Pande Sunil Namdev,BJP
29,,B,General (Women),Adv. Savlekar Mitali Kuldeep,BJP
29,,C,General (Women),Khardekar Manjushri Sandeep,BJP
29,,D,General,Joshi Punit Shrikant,BJP
30,Karvenagar-Hingne Home Colony,A,OBC,Dudhane Vishnal Devram,NCP
30,,B,General (Women),Barate Reshma Santosh,BJP
30,,C,General (Women),Pavle Tejaswi Mahesh,BJP
30,,D,General,Barate Rajesh Kisan,BJP
31,Mayur Colony-Kothrud,A,OBC,Mathwad Dinesh Mahadev,BJP
31,,B,General (Women),Kulkarni Jyotsna Jagannath,BJP
31,,C,General (Women),Jadhav Vasanti Navnath,BJP
31,,D,General,Sutar Prithviraj Shashikant,BJP
32,Warje-Popular Nagar,A,SC (Women),Bhosale Harshada Shantanu,BJP
32,,B,OBC,Barate Bharatbhushan Sharadchandra,BJP
32,,C,General (Women),Vanjale Sayali Ramesh,BJP
32,,D,General,Dodke Sachin Shivaji,BJP
33,Shivane-Khadakwasla-Dhayari,A,OBC (Women),Dhanashri Dattatray Kolhe,BJP
33,,B,General (Women),Ingale Anita Tukaram,NCP-SP
33,,C,General,Nanekar Subhash Murlidhar,BJP
33,,D,General,Chauhan Sopan Bandoji,NCP-SP
34,Narhe-Vadgaon Budruk-Dhayari,A,OBC,Charvad Haridas Krishna,BJP
34,,B,General (Women),Komal Sarang Navle,BJP
34,,C,General (Women),Jayashtri Sathyavan Bhumkar,BJP
34,,D,General,Raju Murlidhar Laygudhe,BJP
35,Sun City-Manik Bagh,A,OBC (Women),Gosavi Jyoti Kishor,BJP
35,,B,General (Women),Manjusha Deepak Nagpure,BJP
35,,C,General (Women),More Sachin Raosaheb,BJP
35,,D,General,Shrikant Shashikant Jantap,BJP
36,Sahakarnagar-Padmavati,A,SC (Women),Veena Rajesh Ghosh,BJP
36,,B,OBC,Bhosle Shailaja Arun,BJP
36,,C,General (Women),Sai Prashanth Thopade,BJP
36,,D,General,Mahesh Narsingh Vable,BJP
37,Dhankawadi-Katrej Deori,A,OBC,Kishore uttam Dhankwade,BJP
37,,B,General (Women),Tapkir Varsha Vilas,SHS
37,,C,General (Women),Badak Tejashri Sachin,BJP
37,,D,General,Arun Bhagwan Rajvade,BJP
38,Balajinagar-Ambegaon-Katraj,A,OBC (Women),Smita Sudhir Konthare,NCP
38,,B,OBC,Beldare Sandeep Balasaheb,BJP
38,,C,General (Women),Beldare Seema Yuvaraj,NCP
38,,D,General (Women),Chorghe Prathiba Rohidas,BJP
38,,E,General,Khopde Vyamkoji Maruthi,BJP
39,Upper Super-Indiranagar,A,SC (Women),Varsha Bhimrao Sathe,BJP
39,,B,OBC,Pratik Prakash Kadam,NCP
39,,C,General (Women),Dhadwe Rupali Dinesh,BJP
39,,D,General,Bala Urf Pramod Premchand Oswal,BJP
40,Kondhwa Budruk-Yewalewadi,A,SC,Archana Amit Jagtap,BJP
40,,B,OBC (Women),Kamte Vrushali Sunil,BJP
40,,C,General (Women),Pooja Tushar Kadam,BJP
40,,D,General,Tikedar Ranjana Kundalik,BJP
41,Mohamadwadi-Undri,A,SC (Women),Alhat Prachi Ashish,BJP
41,,B,OBC,Bandal Nivruthi Jnanoba,NCP
41,,C,General (Women),Swetha Sachin Dhule,NCP
41,,D,General,Tarawade Atul Narayan,BJP
